"id","override","price","availability","link"
"47833359909211","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=47833359909211"
"41038444822667","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=41038444822667"
"47180865536347","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=47180865536347"
"47833359941979","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=47833359941979"
"47180870680923","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=47180870680923"
"41038444855435","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=41038444855435"
"41038444888203","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=41038444888203"
"41038444920971","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=41038444920971"
"41038444953739","AE","90.00 AED","out of stock","https://purenbio.com/en-ae/products/bio-twist?variant=41038444953739"
"52880288219483","AE","76.00 AED","in stock","https://purenbio.com/en-ae/products/eye-pencil-1?variant=52880288219483"
"52912460693851","AE","76.00 AED","in stock","https://purenbio.com/en-ae/products/eye-pencil-1?variant=52912460693851"
"52912474227035","AE","76.00 AED","in stock","https://purenbio.com/en-ae/products/eye-pencil-1?variant=52912474227035"
"52880288350555","AE","80.00 AED","in stock","https://purenbio.com/en-ae/products/eyebrow-pencil?variant=52880288350555"
"52912488513883","AE","80.00 AED","in stock","https://purenbio.com/en-ae/products/eyebrow-pencil?variant=52912488513883"
"41041709498507","AE","142.00 AED","in stock","https://purenbio.com/en-ae/products/ultra-glam-mascara?variant=41041709498507"
"41041963352203","AE","142.00 AED","in stock","https://purenbio.com/en-ae/products/power-stretch-mascara?variant=41041963352203"
"41042047664267","AE","130.00 AED","in stock","https://purenbio.com/en-ae/products/organic-intense-eyeliner?variant=41042047664267"
"41042068963467","AE","142.00 AED","in stock","https://purenbio.com/en-ae/products/cleansing-powder?variant=41042068963467"
"52880287859035","AE","163.00 AED","in stock","https://purenbio.com/en-ae/products/blusher?variant=52880287859035"
"52880287891803","AE","163.00 AED","in stock","https://purenbio.com/en-ae/products/blusher?variant=52880287891803"
"52912457449819","AE","163.00 AED","in stock","https://purenbio.com/en-ae/products/blusher?variant=52912457449819"
"52880288153947","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52880288153947"
"52912495788379","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52912495788379"
"52912498213211","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52912498213211"
"52912508436827","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52912508436827"
"52912511222107","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52912511222107"
"52912512368987","AE","71.00 AED","in stock","https://purenbio.com/en-ae/products/lip-pencil-1?variant=52912512368987"
"52880286744923","AE","147.00 AED","in stock","https://purenbio.com/en-ae/products/organic-satin-lipstick?variant=52880286744923"
"52912598122843","AE","147.00 AED","in stock","https://purenbio.com/en-ae/products/organic-satin-lipstick?variant=52912598122843"
"52912598155611","AE","147.00 AED","in stock","https://purenbio.com/en-ae/products/organic-satin-lipstick?variant=52912598155611"
"52912598188379","AE","147.00 AED","in stock","https://purenbio.com/en-ae/products/organic-satin-lipstick?variant=52912598188379"
"52912598221147","AE","147.00 AED","in stock","https://purenbio.com/en-ae/products/organic-satin-lipstick?variant=52912598221147"
